                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                  2.112,                 2.4142,                  1.813,                 1.9925,                 2.8556,                 1.5975,                0.07691,                0.11765,                0.03434,                0.01138,                 2.4236,                 3.6105,                 2.1851,                 2.0964,                 6.2663,                 1.8307,               0.002278,               0.002278,               0.002278
                     81,                 2.0917,                 2.3905,                 1.8043,                 1.9834,                 2.8299,                 1.5873,                0.08819,                0.12745,                0.04054,                0.01194,                 2.4258,                 3.5084,                 2.1769,                  2.116,                 7.2091,                 1.8124,               0.002179,               0.002179,               0.002179
                     82,                 2.0823,                 2.3315,                 1.7957,                 1.9707,                 2.7782,                 1.5898,                0.23685,                0.12255,                 0.0696,                 0.0224,                 2.5294,                 3.2999,                 2.3138,                 2.2374,                 3.8343,                  1.923,                0.00208,                0.00208,                0.00208
                     83,                 2.0749,                 2.3305,                 1.7833,                 1.9641,                 2.7593,                 1.5787,                0.12504,                0.15686,                0.04477,                0.01405,                 2.4371,                  4.016,                 2.1962,                 2.1195,                 7.8108,                 1.7869,               0.001981,               0.001981,               0.001981
                     84,                 2.0737,                 2.3079,                 1.7735,                 1.9815,                 2.7412,                 1.5823,                0.11328,                0.12651,                0.04178,                 0.0128,                 2.4777,                 3.5804,                 2.2184,                 2.2004,                 8.3901,                 1.8902,               0.001882,               0.001882,               0.001882
                     85,                 2.0528,                 2.2879,                 1.7673,                 1.9365,                 2.7284,                 1.5594,                0.15175,                0.13725,                0.04836,                0.01417,                 2.4218,                 3.3017,                 2.1831,                 2.1525,                 6.8992,                 1.8498,               0.001783,               0.001783,               0.001783
                     86,                 2.0572,                 2.2989,                  1.762,                 1.9752,                 2.7279,                 1.5669,                0.11406,                0.15196,                0.03872,                 0.0118,                 2.4547,                 3.5729,                 2.2115,                 2.1626,                 10.762,                 1.8733,               0.001684,               0.001684,               0.001684
                     87,                  2.039,                 2.2789,                 1.7759,                 1.9571,                 2.7045,                  1.573,                0.10114,                0.15686,                0.04033,                0.01252,                 2.4867,                 3.9106,                 2.2533,                 2.1585,                  12.45,                 1.8638,               0.001585,               0.001585,               0.001585
                     88,                 2.0478,                 2.2756,                 1.7597,                 1.9569,                 2.7125,                 1.5681,                0.16601,                0.13235,                0.05513,                0.01722,                 2.5043,                 3.4366,                 2.2498,                   2.17,                 6.8574,                 1.8659,               0.001486,               0.001486,               0.001486
                     89,                 2.0197,                 2.2311,                 1.7526,                 1.9192,                 2.6597,                 1.5647,                0.12915,                0.12255,                0.05097,                0.01501,                 2.5021,                 3.3419,                 2.2378,                 2.1761,                 5.5862,                 1.8783,               0.001387,               0.001387,               0.001387
                     90,                 2.0405,                 2.2453,                 1.7598,                 1.9519,                 2.6779,                 1.5702,                0.21207,                0.10784,                0.05869,                0.01753,                 2.4983,                 3.3436,                 2.2606,                 2.1819,                 5.7383,                 1.8985,               0.001288,               0.001288,               0.001288
                     91,                 2.0024,                 2.2784,                 1.8293,                 1.9091,                 2.6016,                 1.6025,                0.22167,                0.11275,                0.06043,                0.01819,                 2.4837,                 3.2351,                 2.2637,                 2.1361,                 5.7893,                 1.8411,               0.001189,               0.001189,               0.001189
                     92,                 1.9741,                 2.1512,                 1.7972,                 1.8712,                 2.4658,                 1.5809,                 0.1339,                0.13725,                0.04691,                0.01478,                 2.4787,                 3.3861,                 2.2412,                 2.1782,                 6.7283,                 1.8939,                0.00109,                0.00109,                0.00109
                     93,                 1.9359,                 2.0845,                 1.7786,                 1.8697,                  2.395,                 1.5981,                 0.1156,                0.13725,                0.04933,                0.01487,                 2.5083,                 3.2916,                 2.2675,                 2.2335,                 6.3537,                 1.9635,               0.000991,               0.000991,               0.000991
                     94,                  1.934,                 2.0678,                  1.766,                 1.8563,                 2.3799,                 1.5912,                0.11408,                0.13235,                0.04097,                0.01289,                 2.5168,                 3.5495,                 2.2532,                  2.234,                 8.1353,                  1.941,               0.000892,               0.000892,               0.000892
                     95,                 1.9217,                 2.0711,                 1.7515,                  1.862,                 2.3737,                 1.5845,                0.16865,                0.11765,                0.05651,                0.01657,                 2.5152,                 3.2266,                 2.2596,                 2.2465,                 5.2034,                 1.9564,               0.000793,               0.000793,               0.000793
                     96,                 1.9125,                 2.0513,                 1.7535,                 1.8684,                 2.3332,                 1.5859,                0.08274,                0.14216,                0.03496,                0.01124,                 2.5531,                 3.5846,                 2.3103,                 2.2811,                 13.057,                 1.9881,               0.000694,               0.000694,               0.000694
                     97,                 1.9053,                 2.0212,                  1.748,                 1.8542,                 2.3074,                 1.5879,                0.12646,                0.14706,                0.04821,                0.01481,                 2.5344,                 3.3318,                 2.2918,                 2.2824,                 7.4032,                 2.0028,               0.000595,               0.000595,               0.000595
                     98,                  1.911,                 2.0255,                 1.7437,                 1.8478,                 2.3188,                 1.5855,                0.10845,                0.14706,                0.04058,                0.01279,                 2.5372,                  3.432,                 2.2802,                  2.293,                 9.7155,                 2.0111,               0.000496,               0.000496,               0.000496
                     99,                 1.9121,                 1.9925,                 1.7516,                 1.8363,                 2.2764,                 1.5805,                0.11704,                0.12255,                0.04257,                0.01364,                 2.5371,                 3.4628,                  2.285,                 2.2738,                 10.109,                 2.0046,               0.000397,               0.000397,               0.000397
                    100,                 1.9015,                 1.9893,                 1.7429,                 1.8581,                 2.2597,                 1.5769,                0.10853,                0.15686,                0.04086,                0.01239,                  2.539,                 3.5469,                 2.2987,                 2.3028,                 10.753,                  2.002,               0.000298,               0.000298,               0.000298
